Don’t know/Refused,Favor,Field End Date,Field period,Margin of Sampling Error,Method,N,Number of Records,Oppose,Organization,Medicare-for-all,Question wording,Sample,Somewhat favor,Somewhat oppose,Strongly/Very favor,Strongly/Very oppose,Subsample,URL
5,56,3/18/2019,"March 13-18, 2019",3,live interview telephone,1211,1,39,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,21,8,35,30,Total,KFF Health Tracking Poll
6,56,4/16/2019,"April 11-16, 2019",3,live interview telephone,1203,1,38,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,20,10,36,28,Total,KFF Health Tracking Poll
7,51,7/23/2019,"July 18-23, 2019",3,live interview telephone,1196,1,42,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,21,9,29,34,Total,KFF Health Tracking Poll
2,53,9/8/2019,"September 3-8, 2019",3,live interview telephone,1205,1,45,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,21,12,31,33,Total,KFF Health Tracking Poll
2,51,10/8/2019,"October 3-8, 2019",3,live interview telephone,1205,1,47,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,21,11,30,35,Total,KFF Health Tracking Poll
4,53,11/12/2019,"November 7-12, 2019",3,live interview telephone,1205,1,43,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,22,10,31,33,Total,KFF Health Tracking Poll
4,56,1/22/2020,"January 16-22, 2020",3,live interview telephone,1212,1,41,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,23,11,32,30,Total,KFF Health Tracking Poll
5,52,2/18/2020,"February 13-18,2020",3,live interview telephone,1207,1,44,KFF,"Includes ""Medicare-for-all""","Do you favor or oppose having a national health plan, sometimes called Medicare-for-all, in which all Americans would get their insurance from a single government plan?",All adults,22,13,29,31,Total,KFF Health Tracking Poll
6,51,2/22/2018,"January 24-February 22, 2018",3,live interview telephone,1850,1,43,KFF/Washington Post,"Does not include ""Medicare-for-all""",Do you support or oppose having a national health plan - or a single-payer plan- in which all Americans would get their insurance from a single government plan?,All adults,,,,,Total,KFF/WaPo Poll
5,41,7/17/2019,"July 15-July 17, 2019",4,live interview telephone,1346,1,54,NPR/PBS NewsHour/Marist Poll,"Includes ""Medicare-for-all""","Do you think Medicare for all, that is a national health insurance program for all Americans that replaces private health insurance is a good idea or a bad idea?",All adults,,,,,Total,NPR/PBS NewsHour/Marist Poll
7,42,12/11/2019,"December 9-11, 2019",4,live interview telephone,1744,1,51,NPR/PBS NewsHour/Marist Poll,"Includes ""Medicare-for-all""","Do you think Medicare for All, that is a national health insurance program for all Americans that replaces private health insurance, is a good idea or a bad idea?",All adults,,,,,Total,NPR/PBS NewsHour/Marist Poll
7,47,9/18/2017,"September 14-18, 2017",3,live interview telephone,900,1,46,NBC/Wall Street Journal,"Does not include ""Medicare-for-all""",Would you favor or oppose a single payer health care system in which all Americans would get their health insurance from one government plan that is financed by taxes?,All adults,,,,,Total,NBC/Wall Street Journal Poll
7,44,7/9/2019,"July 7-9, 2019",,live interview telephone,800,1,49,NBC/Wall Street Journal,"Does not include ""Medicare-for-all""",Would you favor or oppose a single payer health care system in which all Americans would get their health insurance from one government plan that is financed by taxes?,Registered voters,,,,,Total,NBC/Wall Street Journal Poll
3,41,9/16/2019,"September 13-16, 2019",3,live interview telephone,900,1,56,NBC/Wall Street Journal,"Includes ""Medicare-for-all""","From what you know, do you strongly support, somewhat support, somewhat oppose or strongly oppose each of the following proposals - Adopting Medicare for All, a single payer health care system in which private insurance would be eliminated and all Americans would get their health coverage from one government plan?",Registered voters,19,12,22,44,Total,NBC/Wall Street Journal Poll
3,44,12/17/2019,"December 14-17, 2019",3,live interview telephone,900,1,53,NBC/Wall Street Journal,"Includes ""Medicare-for-all""","From what you know, do you strongly support, somewhat support, somewhat oppose or strongly oppose each of the following proposals - Adopting Medicare for All, a single payer health care system in which private insurance would be eliminated and all Americans would get their health coverage from one government plan?",All adults,19,13,25,40,Total,NBC/Wall Street Journal Poll
1,55,1/19/2020,"January 6-19, 2020",1,online,12638,1,45,Pew Research Center,"Includes ""Medicare-for-all""","Would you favor or oppose the government offering a health insurance plan, similar to
Medicare, that Americans could choose to purchase instead of private insurance?",All adults,29,18,26,27,Total,Pew Research Center Poll
6,66,9/3/2017,"August 30-September 3, 2017",5,live interview telephone,496,1,28,Politico/Harvard,"Includes ""Medicare-for-all""","Would you favor or oppose replacing the current health insurance system in the United States with a taxpayer-funded national plan like Medicare, which would cover all Americans?",All adults,,,,,Total,Politico/Harvard Poll
8,45,9/3/2017,"August 30-September 3, 2017",5,live interview telephone,520,1,47,Politico/Harvard,"Does not include ""Medicare-for-all""","Would you favor or oppose replacing the current health insurance system in the United States with a single-payer system, in which all Americans would get their health insurance from one national government plan?",All adults,,,,,Total,Politico/Harvard Poll
5,46,9/16/2018,"September 4-16, 2018",3,live interview telephone,1201,1,49,Politico/Harvard,"Includes ""Medicare-for-all""",Would you favor or oppose replacing the current health insurance system in the United States with an insurance program in which all Americans would get their health insurance from one government insurance plan like Medicare that is financed by taxpayers?,Likely voters,,,,,Total,Politico/Harvard Poll
11,51,8/1/2017,"July 27-August 1, 2017",3,live interview telephone,1125,1,38,Quinnipiac,"Includes ""Medicare-for-all""","Do you think that removing the current health care system and replacing it with a single payer system, in which the federal government would expand Medicare to cover the medical expenses of every American citizen, is a good idea or a bad idea?",Registered voters,,,,,Total,Quinnipiac University Poll
13,46,9/26/2017,"September 21-26, 2017",3,live interview telephone,1412,1,41,Quinnipiac,"Includes ""Medicare-for-all""","Do you think that removing the current health care system and replacing it with a single payer system, in which the federal government would expand Medicare to cover the medical expenses of every American citizen, is a good idea or a bad idea?",Registered voters,,,,,Total,Quinnipiac University Poll
12,43,3/25/2019,"March 21-25, 2019",3,live interview telephone,1358,1,45,Quinnipiac,"Includes ""Medicare-for-all""","Do you think that removing the current health care system and replacing it with a single payer system, in which the federal government would expand Medicare to cover the medical expenses of every American citizen, is a good idea or a bad idea?",Registered voters,,,,,Total,Quinnipiac University Poll
13,36,11/25/2019,"November 21-25, 2019",3,live interview telephone,1355,1,52,Quinnipiac,"Includes ""Medicare-for-all""","Do you think that removing the current health care system and replacing it with a single payer system, in which the federal government would expand Medicare to cover the medical expenses of every American citizen, is a good idea or a bad idea?",Registered voters,,,,,Total,Quinnipiac University Poll
